Année;Diesel;Essence;Electriques;Emissions
2008;26.0;5.0;0.0;Cu
2009;26.0;5.0;0.0;Cu
1990;5.8;466.0;0.0;Pb
1991;6.4;294.0;0.0;Pb
1992;7.1;185.0;0.0;Pb
1993;7.6;145.0;0.0;Pb
1994;7.8;127.0;0.0;Pb
1995;8.1;100.0;0.0;Pb
1996;8.3;86.0;0.0;Pb
1997;8.6;75.0;0.0;Pb
1998;8.6;65.0;0.0;Pb
1999;9.0;46.0;0.0;Pb
2000;8.9;3.0;0.0;Pb
2001;9.5;3.0;0.0;Pb
2002;9.9;2.0;0.0;Pb
2003;10.4;2.0;0.0;Pb
2004;10.7;3.0;0.0;Pb
2005;11.2;3.0;0.0;Pb
2006;11.6;3.0;0.0;Pb
2007;11.6;3.0;0.0;Pb
2008;12.1;2.0;0.0;Pb
2009;12.1;2.0;0.0;Pb
1990;23.09;18.03;0.0;Zn
1991;25.58;17.13;0.0;Zn
1992;28.12;15.48;0.0;Zn
1993;30.28;13.42;0.0;Zn
1994;31.36;12.79;0.0;Zn
1995;32.53;10.99;0.0;Zn
1996;33.43;10.62;0.0;Zn
1997;34.64;10.4;0.0;Zn
1998;35.02;10.07;0.0;Zn
1999;36.27;9.94;0.0;Zn
2000;36.43;9.35;0.0;Zn
2001;38.29;9.48;0.0;Zn
2002;39.77;9.28;0.0;Zn
2003;41.49;9.14;0.0;Zn
2004;42.22;9.3;0.0;Zn
2005;43.65;9.11;0.0;Zn
2006;44.6;9.92;0.0;Zn
2007;44.8;10.03;0.0;Zn
2008;45.92;8.6;0.0;Zn
2009;46.75;8.75;0.0;Zn
1990;0.54;0.1;0.0;HAP
1991;0.59;0.09;0.0;HAP
1992;0.65;0.08;0.0;HAP
1993;0.7;0.07;0.0;HAP
1994;0.73;0.07;0.0;HAP
1995;0.75;0.06;0.0;HAP
1996;0.77;0.06;0.0;HAP
1997;0.81;0.05;0.0;HAP
1998;0.82;0.05;0.0;HAP
1999;0.83;0.05;0.0;HAP
2000;0.82;0.05;0.0;HAP
2001;0.83;0.04;0.0;HAP
2002;0.83;0.04;0.0;HAP
2003;0.83;0.04;0.0;HAP
2004;0.8;0.04;0.0;HAP
2005;0.77;0.04;0.0;HAP
2006;0.74;0.04;0.0;HAP
2007;0.69;0.03;0.0;HAP
2008;0.64;0.03;0.0;HAP
2009;0.6;0.03;0.0;HAP
1990;2.71;0.96;0.0;PCDD-F
1991;3.0;0.91;0.0;PCDD-F
1992;3.29;0.82;0.0;PCDD-F
1993;3.54;0.71;0.0;PCDD-F
1994;3.67;0.68;0.0;PCDD-F
1995;3.8;0.58;0.0;PCDD-F
1996;3.91;0.56;0.0;PCDD-F
1997;4.07;0.55;0.0;PCDD-F
1998;4.15;0.54;0.0;PCDD-F
1999;4.25;0.52;0.0;PCDD-F
2000;4.32;0.5;0.0;PCDD-F
2001;4.51;0.5;0.0;PCDD-F
2002;4.67;0.47;0.0;PCDD-F
2003;4.83;0.44;0.0;PCDD-F
2004;4.86;0.42;0.0;PCDD-F
2005;4.96;0.38;0.0;PCDD-F
2006;5.01;0.37;0.0;PCDD-F
2007;5.03;0.34;0.0;PCDD-F
2008;5.12;0.25;0.0;PCDD-F
2009;5.26;0.23;0.0;PCDD-F
1990;22.0;4.9;0.0;SO2
1991;24.37;4.48;0.0;SO2
1992;26.7;3.93;0.0;SO2
1993;28.76;3.34;0.0;SO2
1994;27.29;3.13;0.0;SO2
1995;20.57;2.24;0.0;SO2
1996;17.2;2.06;0.0;SO2
1997;5.51;1.93;0.0;SO2
1998;5.6;1.79;0.0;SO2
1999;4.91;1.14;0.0;SO2
2000;4.06;0.33;0.0;SO2
2001;4.2;0.33;0.0;SO2
2002;4.33;0.32;0.0;SO2
2003;4.45;0.3;0.0;SO2
2004;4.44;0.3;0.0;SO2
2005;0.64;0.1;0.0;SO2
2006;0.64;0.1;0.0;SO2
2007;0.65;0.1;0.0;SO2
2008;0.66;0.08;0.0;SO2
2009;0.14;0.02;0.0;SO2
1990;0.09;0.08;0.0;Ni
1991;0.1;0.07;0.0;Ni
1992;0.12;0.07;0.0;Ni
1993;0.12;0.06;0.0;Ni
1994;0.13;0.05;0.0;Ni
1995;0.13;0.05;0.0;Ni
1996;0.14;0.05;0.0;Ni
1997;0.14;0.04;0.0;Ni
1998;0.14;0.04;0.0;Ni
1999;0.15;0.04;0.0;Ni
2000;0.15;0.04;0.0;Ni
2001;0.16;0.04;0.0;Ni
2002;0.16;0.04;0.0;Ni
2003;0.17;0.04;0.0;Ni
2004;0.17;0.04;0.0;Ni
2005;0.18;0.04;0.0;Ni
2006;0.18;0.04;0.0;Ni
2007;0.18;0.04;0.0;Ni
2008;0.19;0.04;0.0;Ni
2009;0.19;0.04;0.0;Ni
1990;0.0;0.0;0.0;benzène
1991;0.0;0.0;0.0;benzène
1992;0.0;0.0;0.0;benzène
1993;0.0;0.0;0.0;benzène
1994;0.0;0.0;0.0;benzène
1995;0.0;0.0;0.0;benzène
1996;0.0;0.0;0.0;benzène
1997;0.0;0.0;0.0;benzène
1998;0.0;0.0;0.0;benzène
1999;0.0;0.0;0.0;benzène
2000;593.0;1306.0;0.0;benzène
2001;628.0;1253.0;0.0;benzène
2002;626.0;1105.0;0.0;benzène
2003;621.0;984.0;0.0;benzène
2004;609.0;848.0;0.0;benzène
2005;601.0;696.0;0.0;benzène
2006;572.0;572.0;0.0;benzène
2007;538.0;450.0;0.0;benzène
2008;487.0;307.0;0.0;benzène
2009;455.0;259.0;0.0;benzène
