Année;Diesel;Essence;GPL;GNV;Electriques;Emissions
2004;0.5;0.3;0.0;0.0;0.0;du
2005;0.5;0.3;0.0;0.0;0.0;du
2006;0.5;0.3;0.0;0.0;0.0;du
2007;0.5;0.3;0.0;0.0;0.0;du
2008;0.5;0.2;0.0;0.0;0.0;du
2009;0.6;0.2;0.0;0.0;0.0;du
1990;0.05;0.17;0.0;0.0;0.0;Cd
1991;0.06;0.16;0.0;0.0;0.0;Cd
1992;0.07;0.16;0.0;0.0;0.0;Cd
1993;0.07;0.16;0.0;0.0;0.0;Cd
1994;0.08;0.16;0.0;0.0;0.0;Cd
1995;0.09;0.15;0.0;0.0;0.0;Cd
1996;0.1;0.15;0.0;0.0;0.0;Cd
1997;0.1;0.15;0.0;0.0;0.0;Cd
1998;0.11;0.15;0.0;0.0;0.0;Cd
1999;0.12;0.15;0.0;0.0;0.0;Cd
2000;0.12;0.14;0.0;0.0;0.0;Cd
2001;0.14;0.14;0.0;0.0;0.0;Cd
2002;0.14;0.13;0.0;0.0;0.0;Cd
2003;0.15;0.13;0.0;0.0;0.0;Cd
2004;0.16;0.13;0.0;0.0;0.0;Cd
2005;0.16;0.12;0.0;0.0;0.0;Cd
2006;0.17;0.11;0.0;0.0;0.0;Cd
2007;0.18;0.1;0.0;0.0;0.0;Cd
2008;0.19;0.1;0.0;0.0;0.0;Cd
2009;0.2;0.09;0.0;0.0;0.0;Cd
1990;0.22;0.37;0.0;0.0;0.0;Cr
1991;0.24;0.36;0.0;0.0;0.0;Cr
1992;0.28;0.37;0.0;0.0;0.0;Cr
1993;0.3;0.36;0.0;0.0;0.0;Cr
1994;0.33;0.35;0.0;0.0;0.0;Cr
1995;0.37;0.33;0.0;0.0;0.0;Cr
1996;0.4;0.33;0.0;0.0;0.0;Cr
1997;0.43;0.32;0.0;0.0;0.0;Cr
1998;0.46;0.31;0.0;0.0;0.0;Cr
1999;0.49;0.32;0.0;0.0;0.0;Cr
2000;0.51;0.3;0.0;0.0;0.0;Cr
2001;0.56;0.3;0.0;0.0;0.0;Cr
2002;0.59;0.29;0.0;0.0;0.0;Cr
2003;0.63;0.28;0.0;0.0;0.0;Cr
2004;0.65;0.27;0.0;0.0;0.0;Cr
2005;0.67;0.25;0.0;0.0;0.0;Cr
2006;0.71;0.24;0.0;0.0;0.0;Cr
2007;0.74;0.22;0.0;0.0;0.0;Cr
2008;0.77;0.21;0.0;0.0;0.0;Cr
2009;0.81;0.19;0.0;0.0;0.0;Cr
1990;12.0;40.0;0.13;0.0;0.0;Cu
1991;14.0;39.0;0.12;0.0;0.0;Cu
1992;15.0;40.0;0.1;0.0;0.0;Cu
1993;17.0;38.0;0.09;0.0;0.0;Cu
1994;19.0;37.0;0.08;0.0;0.0;Cu
1995;21.0;35.0;0.07;0.0;0.0;Cu
1996;22.0;35.0;0.11;0.0;0.0;Cu
1997;24.0;34.0;0.22;0.0;0.0;Cu
1998;25.0;33.0;0.38;0.0;0.0;Cu
1999;28.0;34.0;0.52;0.0;0.0;Cu
2000;28.0;32.0;0.53;0.0;0.0;Cu
2001;32.0;32.0;0.54;0.0;0.0;Cu
2002;34.0;31.0;0.49;0.0;0.0;Cu
2003;37.0;30.0;0.45;0.0;0.0;Cu
2004;39.0;30.0;0.42;0.0;0.0;Cu
2005;41.0;29.0;0.41;0.0;0.0;Cu
2006;45.0;27.0;0.41;0.0;0.0;Cu
2007;47.0;26.0;0.38;0.0;0.0;Cu
2008;49.0;24.0;0.37;0.0;0.0;Cu
2009;51.0;22.0;0.33;0.0;0.0;Cu
1990;5.7;3382.0;0.06;0.0;0.0;Pb
1991;6.4;2182.0;0.05;0.0;0.0;Pb
1992;7.3;1538.0;0.05;0.0;0.0;Pb
1993;7.9;1338.0;0.04;0.0;0.0;Pb
1994;8.8;1169.0;0.04;0.0;0.0;Pb
1995;9.9;1037.0;0.03;0.0;0.0;Pb
1996;10.6;891.0;0.05;0.0;0.0;Pb
1997;11.2;772.0;0.1;0.0;0.0;Pb
1998;11.8;670.0;0.17;0.0;0.0;Pb
1999;13.1;481.0;0.24;0.0;0.0;Pb
2000;13.1;21.0;0.24;0.0;0.0;Pb
2001;15.0;15.0;0.25;0.0;0.0;Pb
2002;15.9;14.0;0.22;0.0;0.0;Pb
2003;17.4;14.0;0.21;0.0;0.0;Pb
2004;18.3;14.0;0.19;0.0;0.0;Pb
2005;19.5;13.0;0.19;0.0;0.0;Pb
2006;21.1;12.0;0.19;0.0;0.0;Pb
2007;22.0;12.0;0.17;0.0;0.0;Pb
2008;23.2;11.0;0.17;0.0;0.0;Pb
2009;23.8;10.0;0.15;0.0;0.0;Pb
1990;30.57;92.72;0.31;0.0;0.0;Zn
1991;34.36;90.78;0.29;0.0;0.0;Zn
1992;38.84;92.34;0.25;0.0;0.0;Zn
1993;42.35;89.39;0.22;0.0;0.0;Zn
1994;47.02;87.34;0.19;0.0;0.0;Zn
1995;52.52;83.94;0.16;0.0;0.0;Zn
1996;56.45;82.51;0.28;0.0;0.0;Zn
1997;59.45;81.06;0.55;0.0;0.0;Zn
1998;63.4;79.14;0.94;0.0;0.0;Zn
1999;68.56;80.22;1.27;0.0;0.0;Zn
2000;70.26;76.99;1.32;0.0;0.0;Zn
2001;78.28;75.98;1.31;0.0;0.001;Zn
2002;82.4;73.44;1.19;0.0;0.001;Zn
2003;88.17;70.6;1.08;0.0;0.001;Zn
2004;91.57;68.69;1.0;0.0;0.002;Zn
2005;95.08;64.68;0.96;0.0;0.003;Zn
2006;101.21;60.55;0.93;0.01;0.003;Zn
2007;105.7;57.2;0.86;0.01;0.003;Zn
2008;109.87;52.63;0.87;0.01;0.003;Zn
2009;114.57;48.93;0.79;0.02;0.003;Zn
1990;1.04;0.76;0.0;0.0;0.0;HAP
1991;1.16;0.75;0.0;0.0;0.0;HAP
1992;1.31;0.75;0.0;0.0;0.0;HAP
1993;1.42;0.71;0.0;0.0;0.0;HAP
1994;1.58;0.67;0.0;0.0;0.0;HAP
1995;1.75;0.62;0.0;0.0;0.0;HAP
1996;1.88;0.59;0.0;0.0;0.0;HAP
1997;1.97;0.55;0.001;0.0;0.0;HAP
1998;2.07;0.53;0.001;0.0;0.0;HAP
1999;2.17;0.51;0.002;0.0;0.0;HAP
2000;2.18;0.47;0.002;0.0;0.0;HAP
2001;2.33;0.45;0.002;0.0;0.0;HAP
2002;2.36;0.42;0.002;0.0;0.0;HAP
2003;2.4;0.39;0.001;0.0;0.0;HAP
2004;2.36;0.36;0.001;0.0;0.0;HAP
2005;2.29;0.33;0.001;0.0;0.0;HAP
2006;2.28;0.3;0.001;0.0;0.0;HAP
2007;2.23;0.27;0.001;0.0;0.0;HAP
2008;2.13;0.25;0.001;0.0;0.0;HAP
2009;2.06;0.23;0.001;0.0;0.0;HAP
1990;5.24;7.54;0.03;0.0;0.0;PCDD-F
1991;5.88;7.39;0.02;0.0;0.0;PCDD-F
1992;6.62;7.5;0.02;0.0;0.0;PCDD-F
1993;7.2;7.26;0.02;0.0;0.0;PCDD-F
1994;7.97;7.08;0.02;0.0;0.0;PCDD-F
1995;8.87;6.8;0.01;0.0;0.0;PCDD-F
1996;9.49;6.69;0.02;0.0;0.0;PCDD-F
1997;9.94;6.58;0.05;0.0;0.0;PCDD-F
1998;10.6;6.46;0.08;0.0;0.0;PCDD-F
1999;11.31;6.45;0.11;0.0;0.0;PCDD-F
2000;11.67;6.2;0.11;0.0;0.0;PCDD-F
2001;12.83;5.82;0.1;0.0;0.0;PCDD-F
2002;13.45;5.25;0.09;0.0;0.0;PCDD-F
2003;14.24;4.71;0.07;0.0;0.0;PCDD-F
2004;14.63;4.25;0.06;0.0;0.0;PCDD-F
2005;14.97;3.72;0.06;0.0;0.0;PCDD-F
2006;15.72;3.22;0.05;0.0;0.0;PCDD-F
2007;16.39;2.84;0.04;0.0;0.0;PCDD-F
2008;16.89;2.42;0.04;0.0;0.0;PCDD-F
2009;17.76;2.1;0.03;0.0;0.0;PCDD-F
1990;29.32;35.76;0.02;0.0;0.0;SO2
1991;32.71;33.5;0.019;0.0;0.0;SO2
1992;36.42;33.05;0.016;0.0;0.0;SO2
1993;39.89;31.15;0.014;0.0;0.0;SO2
1994;40.11;29.17;0.012;0.0;0.0;SO2
1995;32.75;23.49;0.01;0.0;0.0;SO2
1996;28.68;21.6;0.018;0.0;0.0;SO2
1997;9.27;20.15;0.036;0.0;0.0;SO2
1998;9.91;18.93;0.062;0.0;0.0;SO2
1999;9.03;12.39;0.083;0.0;0.0;SO2
2000;7.62;3.62;0.087;0.0;0.0;SO2
2001;8.32;3.52;0.084;0.0;0.0;SO2
2002;8.71;3.37;0.075;0.0;0.0;SO2
2003;9.19;3.16;0.066;0.0;0.0;SO2
2004;9.39;2.98;0.061;0.0;0.0;SO2
2005;1.37;0.92;0.056;0.0;0.0;SO2
2006;1.43;0.85;0.052;0.0;0.0;SO2
2007;1.5;0.8;0.047;0.0;0.0;SO2
2008;1.55;0.74;0.044;0.0;0.0;SO2
2009;0.33;0.14;0.04;0.0;0.0;SO2
1990;0.14;0.43;0.001;0.0;0.0;Ni
1991;0.16;0.43;0.001;0.0;0.0;Ni
1992;0.18;0.43;0.001;0.0;0.0;Ni
1993;0.19;0.42;0.001;0.0;0.0;Ni
1994;0.21;0.41;0.001;0.0;0.0;Ni
1995;0.24;0.39;0.001;0.0;0.0;Ni
1996;0.26;0.39;0.001;0.0;0.0;Ni
1997;0.27;0.38;0.003;0.0;0.0;Ni
1998;0.29;0.37;0.004;0.0;0.0;Ni
1999;0.31;0.38;0.006;0.0;0.0;Ni
2000;0.32;0.36;0.006;0.0;0.0;Ni
2001;0.36;0.36;0.006;0.0;0.0;Ni
2002;0.38;0.34;0.005;0.0;0.0;Ni
2003;0.4;0.33;0.005;0.0;0.0;Ni
2004;0.42;0.32;0.005;0.0;0.0;Ni
2005;0.43;0.3;0.004;0.0;0.0;Ni
2006;0.46;0.28;0.004;0.0;0.0;Ni
2007;0.48;0.27;0.004;0.0;0.0;Ni
2008;0.5;0.25;0.004;0.0;0.0;Ni
2009;0.52;0.23;0.004;0.0;0.0;Ni
1990;0.0;0.0;0.0;0.0;0.0;benzène
1991;0.0;0.0;0.0;0.0;0.0;benzène
1992;0.0;0.0;0.0;0.0;0.0;benzène
1993;0.0;0.0;0.0;0.0;0.0;benzène
1994;0.0;0.0;0.0;0.0;0.0;benzène
1995;0.0;0.0;0.0;0.0;0.0;benzène
1996;0.0;0.0;0.0;0.0;0.0;benzène
1997;0.0;0.0;0.0;0.0;0.0;benzène
1998;0.0;0.0;0.0;0.0;0.0;benzène
1999;0.0;0.0;0.0;0.0;0.0;benzène
2000;618.0;10223.0;0.0;0.0;0.0;benzène
2001;632.0;9226.0;0.0;0.0;0.0;benzène
2002;595.0;7875.0;0.0;0.0;0.0;benzène
2003;589.0;6759.0;0.0;0.0;0.0;benzène
2004;552.0;5814.0;0.0;0.0;0.0;benzène
2005;522.0;4646.0;0.0;0.0;0.0;benzène
2006;480.0;3680.0;0.0;0.0;0.0;benzène
2007;461.0;3062.0;0.0;0.0;0.0;benzène
2008;439.0;2426.0;0.0;0.0;0.0;benzène
2009;432.0;1981.0;0.0;0.0;0.0;benzène
