Année;Essence;Diesel;Electriques;Emissions
2007;0.42;0.04;0;PCDD-F
2008;0.41;0.04;0;PCDD-F
2009;0.40;0.05;0;PCDD-F
1990;0.43;0;0;SO2
1991;0.41;0;0;SO2
1992;0.41;0.009;0;SO2
1993;0.51;0.024;0;SO2
1994;0.44;0.033;0;SO2
1995;0.32;0.032;0;SO2
1996;0.30;0.032;0;SO2
1997;0.36;0.012;0;SO2
1998;0.43;0.013;0;SO2
1999;0.30;0.012;0;SO2
2000;0.10;0.010;0;SO2
2001;0.11;0.011;0;SO2
2002;0.12;0.011;0;SO2
2003;0.12;0.011;0;SO2
2004;0.13;0.011;0;SO2
2005;0.045;0.002;0;SO2
2006;0.045;0.002;0;SO2
2007;0.047;0.002;0;SO2
2008;0.050;0.002;0;SO2
2009;0.011;0.000;0;SO2
1990;0.02;0;0;Ni
1991;0.02;0;0;Ni
1992;0.02;0;0;Ni
1993;0.02;0;0;Ni
1994;0.02;0;0;Ni
1995;0.02;0;0;Ni
1996;0.02;0;0;Ni
1997;0.02;0;0;Ni
1998;0.02;0;0;Ni
1999;0.02;0;0;Ni
2000;0.02;0;0;Ni
2001;0.02;0;0;Ni
2002;0.03;0;0;Ni
2003;0.03;0;0;Ni
2004;0.03;0;0;Ni
2005;0.03;0;0;Ni
2006;0.03;0;0;Ni
2007;0.03;0;0;Ni
2008;0.03;0;0;Ni
2009;0.03;0;0;Ni
1990;0;0;0;benzène
1991;0;0;0;benzène
1992;0;0;0;benzène
1993;0;0;0;benzène
1994;0;0;0;benzène
1995;0;0;0;benzène
1996;0;0;0;benzène
1997;0;0;0;benzène
1998;0;0;0;benzène
1999;0;0;0;benzène
2000;1138;0;0;benzène
2001;1150;0;0;benzène
2002;1160;0;0;benzène
2003;1081;0;0;benzène
2004;1105;0;0;benzène
2005;1067;0;0;benzène
2006;986;0;0;benzène
2007;924;0;0;benzène
2008;895;0;0;benzène
2009;880;0;0;benzène
